lender_id,borrower_name,identity_id,loan_account_no,loan_amount,outstanding_balance,status,disbursement_date,due_date,repayment_date
LND-001,01 Valid Internal Code,DEMO-NIN-70123456789,ACCT-801,250000,0,REPAID,2026-01-10,2026-06-10,2026-05-28
FBNINLLA,02 Valid SWIFT Alias,DEMO-NIN-70987654321,ACCT-802,150000,30000,ACTIVE,2026-02-15,2026-08-15,
CBN/BD/2023/001,03 Valid CBN Alias,DEMO-NIN-70123456780,ACCT-803,75000,75000,ACTIVE,2026-03-12,2026-09-12,
213800X5R8QZ7J4K2L12,04 Valid LEI Alias,DEMO-NIN-70123456781,ACCT-804,100000,20000,ACTIVE,2026-04-12,2026-10-12,
NUBAN-011,05 Valid CustomId Alias,DEMO-NIN-70123456782,ACCT-805,80000,10000,ACTIVE,2026-04-12,2026-10-12,
LND-001,,DEMO-NIN-70123456782,ACCT-806,50000,50000,ACTIVE,2026-04-01,2026-10-01,
LND-001,07 Missing Identity,,ACCT-807,50000,50000,ACTIVE,2026-04-01,2026-10-01,
LND-001,08 Zero Loan Amount,DEMO-NIN-70123456783,ACCT-808,0,0,ACTIVE,2026-04-01,2026-10-01,
LND-001,09 Negative Balance,DEMO-NIN-70123456784,ACCT-809,100000,-5000,ACTIVE,2026-04-01,2026-10-01,
LND-001,10 Balance Exceeds Loan,DEMO-NIN-70123456785,ACCT-810,50000,60000,ACTIVE,2026-04-01,2026-10-01,
LND-001,11 Invalid Status,DEMO-NIN-70123456786,ACCT-811,50000,50000,FOOBAR,2026-04-01,2026-10-01,
LND-001,12 Repaid With Balance,DEMO-NIN-70123456787,ACCT-812,100000,25000,REPAID,2026-02-02,2026-05-02,2026-04-29
LND-001,13 Bad Date Format,DEMO-NIN-70123456788,ACCT-813,50000,50000,ACTIVE,2026/04/01,2026-10-01,
LND-001,14 Missing Repayment Date Review,DEMO-NIN-70123456789,ACCT-814,100000,0,REPAID,2026-03-01,2026-09-01,
LND-001,15 First Duplicate ACCT-900,DEMO-NIN-70123456790,ACCT-900,80000,40000,ACTIVE,2026-04-01,2026-10-01,
LND-001,16 Second Duplicate ACCT-900,DEMO-NIN-70123456791,ACCT-900,80000,40000,ACTIVE,2026-04-01,2026-10-01,
UNKNOWN-999,17 Unknown Lender ID,DEMO-NIN-70000000000,ACCT-815,50000,50000,ACTIVE,2026-04-01,2026-10-01,
